comment,date,rate,max_rate
"I saw this in Orange on a digital screen on one of the early screenings and kept going back.OK I'm 27 and long ago boxed up my transformers from childhood. But I had to see this movie. If you're like me, you remember Optimus Prime, the hero of heroes. Since Star Wars has come and gone, there are few articles of childhood left to see again on the big screen. Transformers is one of those toy marketing schemes that actually made interesting characters, and of course, sold a lot of toys.I am highly skeptical of Michael Bay. Not only does he make crappy movies, but he has to destroy a nice car in the middle of it all. But here, I give the guy a pass.I like to see my home state on the silver screen too. They filmed the ""Qatar"" scenes in Alamogordo, New Mexico. So about this movie...I was entranced from beginning to end. The dialog was sometimes a little to rapid fire and nervous, poor megan fox had almost nothing to do, some characters were out of place and plotting weird, but in the end, the film is a winner.The effects really do sell the film in every scene. Bumble Bee, Optimus, all of them are extremely well ""acted"" by the talented computer animators. There needs to be some kind of acting award besides special effects for this thing.Yeah, megatron comes up out of nowhere. Lots of the plot make little sense, but hey I sat down and watched some old episodes on Youtube and found that i couldn't even follow what the hell was going on in the cartoon. I would say in the movie, they made an improvement with plotting.The Decepticons are effectively menacing, especially when Barricade confronts Sam on the hood of a car. That one was actually pretty startling. I've had nightmares as a kid being chased by giant killer robots and yeah, this one got a little close. Enough of my freudian fears.This movie delivered, it was superbly entertaining and very very well done. I don't quite acquit Michael bay for Pearl Harbor or destroying the Ferrari 355 in The ROCK, but here, he gets a pass. Can't wait for the multi disc DVD. Bring on the sequels.","Jul 29, 2007",8,/10
Like many people I grew up with the G1 Transformers and went in knowing that this movie was going to be different than the cartoon that I knew and loved as a kid. I wanted this movie to stand as original yet keep the elements that made the cartoon so special. Getting to know the personalities of each robot was what made the cartoon so endearing. Humans were the supporting cast. I know that it was a tall task to personalize each robot within 2 1/2 hours yet I believe that it could have been accomplished if the focus of the film were truly through a Transformer's perspective and not through Sam Witwicky's eyes. The time that was spent showing off Megan Fox's body (and all of the sexually driven teen-age humor) could have been used to build affection for the fun-loving Jazz (who was my favorite character back in the 80's.) I should have been able to feel some emotion from his death yet I was never given a chance to know who he was... very anti-climactic.All-in-all the movie allowed me to feel what it would be like if Transformers were in our world today. It did make for a solid July 4th weekend summer blockbuster. I did enjoy the brief glimpse into the personalities of the Autobots (especially Iron Hide) yet left the theater feeling that I wanted to learn more about them individually. Disappointment in the movie compelled me to throw in a couple episodes from my season 2 DVD collection of the Transformers it actually helped. Maybe the makers of the next movie will get it right (I'm still hoping to see the classic match-up between the Dinobots and Devastator!) Too much human and not enough robot perspective... which is supposed to be what the Transformers are all about... at least based on what I remember.Overall Grade: C+ Story: C Acting: C- Direction: C Visuals: A,"Jul 5, 2007",7,/10
,"Jul 15, 2007",1,/10
"I loved this movie. Being a fan of the G1 Transformers, this movie did not disappoint. There was non-stop action from beginning to end. it had it's awkward moments, if you had kids with you you know what I mean, but they were still funny. I also liked the fact that you could have walked into the theater knowing ABSOLUTELY NOTHING about Transformers and still understand the movie, the storyline, and the Transformers themselves. On the downside though...wait...there wasn't one. IF there was though, there's enough robot action and car/robot chase scenes to make that all better. when I first saw it, 7/2/07 I was like...'wow' this movie set the bar WAY up there for movies to come. When I most recently saw it, 7/20/07 it was still packed in the theater, so you know it's good, and at the end everyone clapped. it's the best movie of the the summer!","Jul 21, 2007",10,/10
"Transformers is about a group of robots with the ability to transform into automobiles and various other mechanical things, who come to earth to find the Allspark, the source of power and creation on their world, which was long since decimated by war. This is a wet dream for anyone of my generation, as the cartoon and toys were what I grew up with. But for me (as I was pretty much strictly a Looney Tunes viewer) Transformers was always on the fringe of what I knew. That does not mean that this movie is any less fun. When they make a movie like this, it seems like there are really only two directions to go: ham it up, or take the ""Batman"" route and make it as serious as possible. This one did choose to ham it up and I don't think it was the wrong decision. It is still a very action packed sci-fi fan's movie. Transformers is great propaganda for joining the army, much like the TV show ""24"" makes being a counter terrorist agent seem cool. I enjoyed it anyway. It is super violent, but most of that violence is robot-on-robot in a hyper blown cartoon-ish sort of way. I was definitely struck by how it made being in the military look so cool, with all of its weapons and toys and definitely a lot of respect shown to all of its men and women. One complaint: it is a little hard to see what's going on in some of the action sequences. It is very fast and all CGI. The sound is booming and very effective, but the actual visuals don't always cut it. The plot (as if anyone cares) does the job of bringing the Transformers into this century, with our present world conflicts, and for the most part it works. Any general cheesiness in the dialogue or situations, for me, was easily forgiven by the fact that, well, it's from an '80s cartoon and toy. Good movie!","Jul 7, 2007",7,/10
"Trash! Trash! Trash! Do not see! Do not see! Age recommend (8 and Below)(50 and above). How I hate michael bay so much, let me count the ways. Oh Transformers, what has he done to you? What potential? All of it flushed down the drain. Bay!!!!!!!!! I don't even know what to say??? This film was hurtful. I almost shed a tear for what I had to watch and it wasn't that the movies wasn't exactly like the show or the comics etc. It was just a stupid movie made by an even more stupid man. I must admit I fell for Bay's trap. The trailer is maybe one of the best I have seen. Steven Spielberg as producer. What potential.Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh!!!!!!!!!!! I want my money back! Bay!!!!!!!!!!!!!!!!!!!!!!! Please read this and believe me, don not see this. Do not spend your money on this. Do not pay Michael Bay to crap on you for 2 and 1/2 hours.","Jul 3, 2007",1,/10
"Simply the best movie i had seen at that time and basically still holding up that standard today, man; the soundtrack, the score, the cast do i even to talk about the visualsMaybe wink* wink* the best film ever made in (my opinion), clearly still dear to my heart.","May 14, 2021",10,/10
"I have been anxiously awaiting the arrival of what seems to be the biggest summer blockbuster, Transformers. After seeing the trailer, I became more excited than ever to see this movie. I expected to see a lot of action and some slight humor. I had very high expectations for this movie. And it surpassed all of them.Though in a competition with some of the biggest summer blockbusters in history, most of which were sequels. Transformers held it's own and exceeded expectations. Which is impressive in itself, seeing that Transformers is held to such high standards. It was not a short movie, by any standards. Two and a half hours is more than some can take in a theater. But, I personally don't have a problem with a long movie, as long as I am entertained. And I was.Half way through the movie, I was curious to see if the movie could sustain its steam. And didn't know if any more excitement, and laughter could come from this movie. But, I was very pleasantly surprised to find, that it didn't lose it's steam. Transformers was incredibly entertaining throughout the entire two and a half hours.I expected very large action scenes and incredible effects, and it transcended all expectations. The new effects, were outstanding. And made the action scenes so much more exciting and captivating. But, what surprised me was the incredible humor that this movie contained. I expected to laugh, and I expected the funny ""one liners"", but I did not expect to laugh so often and with such intensity. Transformers was hysterical, I loved every minute of it. Even more surprising than the incredible humor, was the heart behind the movie. You begin to care for the ""Autobots"" and can't wait till the ""Decepticons"" get what is coming to them.This movie was also very well acted. Adding another notch under his belt Shia LaBouf made a charismatic, funny, lovable Sam Witwicky. While the always charming Josh Duhamel added a great performance as Captain Lennox. Both men were a good add of ""eye candy"" for the ladies to enjoy. But the men have plenty to look at as well, with the gorgeous Megan fox as Mikaela Banes, the girl of Sam's obsession. And Australian bombshell Rachael Taylor as Maggie Madsen.All in all, this movie exceeded all of my expectations. The action scenes were even more than I expected. The humor, was funnier than anticipated. And the movie in all was exceptional, and worth the money to go see it. And I am a person who can't wait for the DVD, so that I can take Transformers home with me.","Jul 7, 2007",,
The negative reviews for this movie are justified. Cool plot I guess. Incredible CGI. Megan Fox. That's about it.First this may be a persona preference but I did not like how the transformers didn't have any resemblance to the vehicles they were. They all looked like completely different beings. Also the transformations were extreme closeup where you couldn't see anything. The action scenes were way to quick dark and fast. Stuff just kept happening and happening.Also I just didn't care much about the transformers. They had no personality outside of bumble bee. Megatron was barely in it and did nothing. Prime had a bigger part but still I didn't care.I wanted more about their home planet. I know why they were on earth but give us some more history.I wanted more story and less fighting.,"Aug 1, 2022",6,/10
I rather enjoyed the comical read that my predecessor has posted about this movie. I find it rather entertaining that he's trying to talk down about so much in the movie. I think its comical how he goes off about all the culture stuff they try to feed you. ITS A MOVIE. It's a great movie. If you grew up in the time of transformers you will be familiar with the voices and all. Don't listen to the guy who just wants to try and bring people down. Should be less negative. Sure there are some spots where you kind of go.. uhh OK.. But in the end it is a rather enjoyable film. I'm sure this chester fellow will talk down about many other movies and try to make people lose interest. If your interested in it.. watch it.It's an awesome movie.Take from it what you want. But don't be negative about it. I can't wait to see this guys review of Bourne Ultimatum,"Jul 18, 2007",8,/10
"For crying out loud would all the editors, and I'm not just talking about this film, PLEASE STOP using the soundtrack from ""THIN RED LINE"", track 3 in particular, as a music guide track! I know it is an awesome piece of music, but the tune is so identifiable that it only makes me spend the rest of the scene wondering what other films I have seen that some poor composer has had to try and redo. This definitely kills the buzz. It's driving me CRAZY and I'm really sure it's driving the composers crazy too! Even ""Saint Hans"" himself, has had to recreate the piece. Otherwise it was a load of fun. Had some great laughs and was lucky that there were a bunch of ""Stoners"" sitting beside me who were really getting into it and I saw it from their point of view and had a ball!","Jul 11, 2007",7,/10
"I must confess I did not feel much smarter leaving the cinema yesterday evening, but despite this, the rush the movie gave by pure action and spectacle was more than enough to keep me not just interested, but excited about the movie for it's 144 minutes, craving more at the end.Script wise, the movies may not be worthy of a Nobel price, but succeeds greatly in transforming the original material from the series into a working movie. Clichés are however to many for a European audience to handle very well. The movie also spots loads of great humor, something which magically blends with what is probably the main feature of the movies: it's spectacular to watch.In terms of special effects, Transformers is beyond state-of-the-art. It literally shines, and the action sequences are incredibly well pulled off. The Autobots also look amazing, despite some weird changes in their size from time to time. Also, the sounds works very well, and nowhere better than in the voice of Optimus Prime, which for some reason gives the robot a character unlike any computer-created actor I've ever seen seen.The movie is quite simply a great experience. It mixes humor with amazing visuals, giving you a rush that screams for a sequel.If they manage to make the inevitable sequel carry the same level of action, but spiced with more depth in the story, this could be the beginning of something truly great.","Jul 6, 2007",8,/10
,"Jul 15, 2007",7,/10
"If we define 'totalitarian regimes' as those which exercise propagandistic control over the values and interests of the ruled, then by this definition most Americans are living under a totalitarian regime. The 2007 film Transformers does not fall short of a militaristic call-to-arms. The conjuring up of post-911 imagery and the clearly modernist plot-purity of good vs. evil aligns this film with the goals of American military generals and Republican politicians. I watched the film in the Netherlands, and it seemed everyone in the audience noticed the film was radiating American military fantasies from the screen into the cineplex. The exhilaration of obscenity, the obscenity of obviousness, the obviousness of power, the power of simulation. It even included a clear recruitment message (which seemed ironic while watching it in a foreign country)--near the end the glorified American soldier, Josh Duhamel, turns to the main character, a sloppy teenager played by Shia LaBeouf, and says, ""You're a soldier now...."" A sappy orchestral chord fills the theater, as we apparently are to feel included in the act of 'becoming a US soldier' and compelled to join the Army Rangers to help the Autobots destroy the Decepticons in a galactic showdown with American accomplishment at the centerpiece.America is the only country which gives you the opportunity to be so brutally naive about films like this. In fact, some of us know films like these are simply part of the militaristic education in America: of learning obedience to our patriarchal authorities, of developing a taste for military 'action', and the constant reassertion and justification of the American military mission on the geopolitical scene. But back in the States, no other American seems to notice the film's pungent ideological consequences. The users on IMDb who dislike the film can only point to plot flaws or technical mistakes, or a general distaste for CGI graphics. Others point out that it simply wasn't violent enough. When our culture is as inundated as it is, there really is no desire to adopt a critical stance on films that represent our own ideology. And in fact most don't notice. It may be that the truth of America can only be seen from outside the fishbowl, since only there will you discover the perfect immanence and simulation of these values. Americans, for our part, have no sense of simulation. We are simulation in its most immanent state, and have no language to describe it, since we are an isolated model that communicates mostly with itself.As a result, just as Optimus Prime observed that humans were violent creatures, Americans are also the ideal material for an analysis of culturally-encouraged violence against other cultures. No more and no less than primitive societies were analyzed in their day. The same mythical and analytical excitement that made us look toward those societies today impels outsiders to look in the direction of America. With the same interest and the same prejudices.","Aug 25, 2007",1,/10
,"Jul 14, 2007",8,/10
,"Nov 10, 2007",7,/10
,"Jul 3, 2007",3,/10
,"Jul 5, 2007",10,/10
"Michael Bay isn't exactly notable for Oscar-worthy plot/character driven films, but he sure does know how to make one hell of a fun and aesthetically pleasing movie. Bay has taken the immensely popular Transformers franchise which had previously only been seen in the light of comic-books, toys, and cartoons and has brought it into the realm of the real world with this movie.The storyline is very straightforward in its structure as the quintessential, thematic Good vs. Evil piece: Two polar opposite factions of a robotic alien race (The Autobots led by Optimus Prime and the Decepticons led by Megatron) duke it out on our lovely green planet in order to retrieve a cube that holds the power of the universe so that they can destroy it to keep the evil-doers from abusing its powers or use it with evil intent. Stuck in the middle are the two humans, Sam and Mikaela, who become entangled with these (incredibly cool) alien beings. The story goes on from thereon out detailing how the Autobots and Decepticons try to find the cube along with the help of Sam and Mikaela.Now honestly, coming into this movie, you really can't expect it to be American History X or Schindler's List dramatically uncovering deep flaws or triumphs in humanity, but what you should expect is loads and loads of fun, which you will surely receive. From the get-go we get an incredible action scene that has a helicopter transformer wreaking complete havoc on a military base somewhere in the Middle East. Simply put, it's amazing. However, being a Transformers fan as a child, the most thrilling scene was when they introduced Optimus Prime and the other Autobots, which is pretty self-explanatory.The movie is unbelievably captivating--it's stunning visually and the CGI/special effects are flawless. Every single action scene had the audience cheering for more and more of the jaw-dropping effects and ""wow"" moments in the theater I was in.Shia LaBeouf and Megan Fox do well in portraying their characters, despite some moments of awkward adolescence. There were some questionable plot holes in the movie, such as some times when certain characters were left in a cliffhanger of a scene and then never heard of again. However, that's totally okay because I don't think anyone actually cared or paid attention to those characters as they only became roadblocks to the next awesome action sequence. Also be forewarned, there is a whole lot of product placement in this movie. Every few minutes you'll be sure to find some kind of product that companies have sneakily endorsed into the movie.9/10 because it achieves what it is meant to be and never tries to be anything else. It is consistent in its structure not to mention (yet again) completely awesome and action-packed despite some problematic storyline details. So be sure to catch this movie, because it's probably going to be the most fun you'll have in the theaters this summer.","Jul 3, 2007",,
"I have to say that this movie really started off strong and I thought that it kept up the intensity the whole way. This is really and 8 out of 10 for me but it had to lose at least one point for a big drawback in my opinion. Optimus Prime does NOT have a mouth. He has a shield over his mouth. Every poster showed him the right way, but them come movie time he has an exposed mouth and the shield only covers it when he is fighting. Are you kidding me, this may be really minor to some people but Optimus is my favorite character and he has been since I was a kid (mainly because of his look). It's like Michael Bay said ""I believe that people can suspend reality enough to believe that cars and equipment can turn into robots, but it's a little far fetched to believe that one could talk without a mouth"". UGH. He doesn't have a mouth plain and simple and for whatever reason that obviously has really gotten on my nerves. Other than that it had great Transformer action, which is all I was looking for. So at least something was done right.","Jul 6, 2007",7,/10
,"Aug 2, 2007",10,/10
,"Jul 4, 2007",7,/10
"It is easy to think that any movie that comes from either comic book or cartoon never seems to hit its mark. THis i am happy to say is one of the exceptions.With some of the greatest CG seen since Lord of the Rings there is little fault with the monstrous machines.The casting was almost flawless and the script itself impeccable save for some irrelevant and tiring jokes.The score of the movie is perfect even though at some times corny through Jazz's comical urgings toward Shia Labeouf's character.Although i was constantly kicked in the back in the cinema by two young children and they drowned out important dialog with there constant ""that's Optimus"" or ""Oh no Megatron"" nothing could bring down the spectacle that is Transformers. Whether you grew up with the original or simply fell into the toys and movie i feel safe to say it will stay in the hearts of all audience's.","Jul 4, 2007",10,/10
,"May 14, 2008",7,/10
"It has been only a mere 3 to 4 weeks since I saw Transformers, and, gott in himmel, I will not say anything that someone else have already said. But, man, it really was an awful, terrible movie!!! Why would people like to consume that kind of junk? And I'm a BIG Transformers fan!! I mean, I watched all the episodes back when I was a kid. Not so long ago, I bought a ""special edition"" with the first 4 episodes. And still can't believe how bad the movie adaptation was! Does somebody want's a proof? See ""Armaggedon""!!! See ""The Island""!!! I just saw that one a few days ago, and maaaaaaan, was that a huge mistake!!!!??? You could say that this kind of movies exist with the only purpose of making even more valuables the good movies: you know, the ones with a good story, a coherent script, the ones which don't have as a main purpose to show the tits of the girl o' the moment (though the movie is about some robots and their war?). There is something happening in Hollywood: it's in crisis. Thus, the writers' guild strike. Just imagine, they might be over stressed with work, maybe they are writing like 254 scripts for 254 movies, all due January,2008!!! Bah, some gibberish!! ""Transformers"" sucked!!! Michael Bay sucks!!","Nov 8, 2007",1,/10
"Transformers the movie was awesome it's the best action movie of the year great actors,special features and everything it is worth buying a ticket for.If you like jumping out of your seat with excitement this is the movie for you lots of excitement and comedy. This is my new favorite movie the theme of the movie is great you know it had to take a long time but it was worth it. Transformers is going to be put up for so many awards and has already won an award before it hit theaters. For best movie we haven't seen yet by the MTV movie awards. If there's a movie that has been nominated for an award and won even before it hits theaters then that is the type of movie i would like to see. There are a lot of action movie's out there like ghost rider,die hard,fantastic four,spider man etc. but transformers wins them over hands down. Transformers like any action movie has it's villain hero problem solution etc, but is taken to a whole new different level of action this movie is compared to a roller coaster it has up's adventurous parts and down's slow but good parts of the movie so go see the best movie of the year(DON'T WAIT GO SEE THE DARN MOVIE).","Jul 5, 2007",10,/10
"First of all, let me say that all in all: I liked this movie. However, I was hoping it would link in a bit better with the original: The characters were updated for this movie - that is OK, and expected. But some were SO updated, you could not quite recognize them from the original TV show. Especially the Decepticons were a bit difficult to keep apart, as they were quite similar when transformed into robots.The voices were not kept close enough to the original. Megatron and Starscream had very distinctive voices in the TV series, but they were completely different in the movie. Kudos for keeping Optimus Primes voice like the original.Optimus Prime was wise and tactful in the TV series, but in the movie he at times are quite clumsy - for instance in the scene in Sams back garden. I found that rather disrespectful...Finally I was waiting the whole movie for Megatron to transform into the mighty gun - but he never did! All in all - this was always going to be a movie for the old Transformers fans of the 80-ies. It was never going to be realistic, so why strive to make it more realistic than the original? I wanted to see old Transformers revived. I did not want to see what the Transformers would look like if they were invented today...Still a good movie, though...","Jul 5, 2007",6,/10
"After seeing the reviews here and the surprisingly big rating, I decided to go and watch this movie. No big expectations though. I saw it 'da capo a fine', just to make sure I'm not missing anything.This must be by far the worse movie I've seen in the past years.This is not the ""it's so bad, that it's good"" kind of movie. This is limitless garbage. The plot is hilarious, with no regards to logic or reality whatsoever, the characters are VERY unconvincing, behind an acting which is absolutely horrible. I would like to point out the tremendously unrealistic ""British accent"" of Rachael Taylor (Maggie Madsen), a sort of mix between talentless acting and parody.The stench of rotten ""politically correctness"", distributed homogeneously in dialogues, casting and plot, is only equaled by the cheesy humour that can perhaps extract a blank smile from participants at the Special Olympics.The special effects are good, the only good part of the movie, but they also tend to become boring, in a flat and predictable way, just after the first few minutes, too feeble to sustain as a compensation the terrible ugliness of everything else.The movie is not a complete waste of time though. It must be seen, as proof that in the 21st century you can still make a bad movie with a huge budget.","Aug 18, 2007",1,/10
"Ah yes, military bases - no tax on goods, cheap gas, and a sneak preview of Transformers. Michael Bay did one hell of a bang up job on this one.I went into the movie expecting a cool, product-placement movie, but what I got in return was a ridiculous but awesome film. From the get go, the movie is fast paced and the action starts quick. Then it slows down into a story building motion, but speeds up again after the introduction of all of the characters. Basically, the movie can be split into two parts: the ridiculous, comedic portion and the action oriented, blow your mind portion.As for the graphics, simply put they are orgasmically good. The transformations from car to bot, and vice versa, are smooth and flowing even in the middle of action. They mesh well with the environments and actually appear to be real without that CGI-texture look.Nerd or moviegoer alike, the movie is great and I would have spent my hard-earned money it if I didn't have the option of seeing this free screening. However, for the supernerds out there, there are a few inconsistencies in the movie but only they would let that ruin the experience. Easily and most likely the top movie of the summer so far.","Jul 1, 2007",10,/10
"There is a mystery to cinema because it is an illusive art. It is an artistic collaboration and for that reason it resembles a labyrinth with no center. In viewing a film it's nearly impossible to pin down where a given creative touch is coming from and the result is that the aesthetic heat of a film is generated as from a house fire instead of a single match. This analogy holds true that a good script is doused in gasoline and a talented director is like a propane tank in the basement, such that a burning house can take on the impulse of dynamite. And in the absence of explosive potential a movie can simply burn up resources and create a mild spectacle. With this comparison in hand, a Michael Bay movie is like taking 150 million dollars worth resources, assembling them in a huge special effects pile and lighting it ablaze, then stand back and watch it for a couple hours. Yes it is mildly entertaining, and lots of people who happen past will also stand and watch the massive fire, you could even charge admission. But is it art? Well I guess that depends on what you call art. I enjoy watching building demolition. To see a large formidable structure give way by the force of a controlled explosion and crumble into dust and rubble entertains me. I know that these demolitions require a high degree of technical prowess. The buildings structure is taken into account, charges are set with explosives which is not a simple task, and controls are enforced to insure things go smoothly. The result is something that I find entertaining to watch. Do I consider it art? Well sure, why the hell not? It involves degrees of ingenuity and creativity, but it's safe to say that there is no Matisse of building demolition. This is because building demolition is limited by its practical application, which is to take down a building rather than express a higher degree of cultural relevance within the practice of demolition. In the same way a Michael Bay movie is limited by the practical application to make as much money as possible. Can't really hold that against him, but at the same time there is no need to give him more credit than what's due. So to say that Transformers is anything more than an explosive semi nostalgic money grab is similar to saying cotton candy tastes great and won't rot you teeth. That kind of talk gives you cavities.","Dec 26, 2007",,
,"Oct 12, 2007",7,/10
"This movie will probably be the focal point of the summer. This movie had tons of action and a great storyline. It has made so much world-wide that it cannot be beaten. Shia LaBeouf is such a great actor, he sells the movies with his eyes. In some parts I thought the robots were actually there, his emotions were spot on, and he didn't over act. I thought Josh Duhamel and Tyrese Gibson were going to suck, but I was blown away by the acting they showed. I was surprised to hear that this was Megan Fox's first big movie because she seemed like a pro. This movie really appealed to the original audience, and the younger kids. I am keeping my fingers crossed for Transformer II, and if there is going to be one Shia better be in it! I give the movie a 10/10! ***MUST SEE!***","Jul 11, 2007",10,/10
"First of all let me just say that I am not one of those crazy Transformers fan boys like the Elias character from Kevin Smiths Clerks 2 movie. I am familiar with the Transformers back from my Saturday morning cartoon phase when I was just a lad, but thats about as far as my previous knowledge of them goes. I arrived at this movie expecting a typical Michael Bay summer blockbuster effects driven adventure. I knew it wasn't going to be Oscar worthy material, keeping that in mind, I found myself being rather entertained, and not totally disappointed.While the movie does hold a typical big budget summer flick running time, there is usually enough going on to hold your attention. Shi Labeouf carries his role well as one of the main human characters, I found myself enjoying everything he did more and more as the film went on. His co-star Megan Fox, while very very easy on the eyes, did not totally come across as well for most of the film. Near the beginning when you first meet her she seemed to me very wooden and stiff, but later farther into the film she seemed to get better and more into the role. The real stars of the film however are the Transformers themselves. The autobots, led by Optimus Prime, and the Decepticons led by Megatron duke it out and flex their metal muscle throughout the film. I also thought the cars were cool to, if not really excessive with the product placement. I think that with the exception of the classic camero, all the other cars they transformed into always had the logo front and center aimed at the camera.All and all I suppose that there are worse ways to spend two hours of your life. I think some of Michael Bays more adult rated R movies like Bad Boys 2 are better but I did not leave the theater to disappointed. Take it for what it is folks, a big budget summer popcorn flick, it has some bad, groan inducing moments, but it also had some wow that was cool, and hey that was pretty funny moments to! Don't be to critical and just try to have fun, maybe play a game, like count the number of product placements or something!","Jul 2, 2007",7,/10
"The movie opened at the Local theater on Monday, I went to the 8pm showing with a friend. Bothof us are huge fans of the cartoon series. Never the less we where both expecting TRANSFORMERS to be just like the other movies of recent that remade classic 80's TV shows. After the very first action scene in the movie, when the movie paused on a black screen all my friend and I could say was WOW! This is coming from the two people who you never want to watch a movie with because we are terrible critics and rip movies apart while we watch them. TRANSFORMERS was so good that even though it has only been out 3 days I have already seen it twice, and I hate spending the money for movie theater ticket prices. Please anyone who is thinking about seeing this movie don't wait go see it cause your going to want to see it more than once.","Jul 5, 2007",10,/10
"My next lines will be about a film that's really interesting, about a film that has almost everything a huge fan of action deserves, it's really enjoyable. But what's going on with the votes? 8.1 with more than 30.000 votes... I guess that it will become one of the entries for the top 250 movies of all time, and that,I don't seem to understand. It's really a good action film and it's an almost perfect adaptation of the Transformers world, It even has all the elements that make Michael Bay a good action director, I love that really cool effects of him slowing down the action for boosting up emotion. But c'mon people it's not really in the same league as Ben-Hur, or even Star Wars The Return of the Jedi. Please don't take my opinion in a bad way, the movie is really cool and it deserves to get praise, especially Shia Lebouef and Michael Bay, BUT I think that a little of the amazing credibility that IMDb had, was lost in the latest months by over-estimating judgements with a lot of the latest movies.","Jul 9, 2007",7,/10
"You can't polish a turd. Maybe somebody should tell that to Michael Bay, Steven Spielberg, the screenwriters, and those of you who thought this was a good film. I watched the Transformers cartoon when I was a kid, so I didn't walk into it blindly. I know the characters and the overall story. I would rather watch every episode of the original cartoon series than have to sit through this mindless piece of garbage again. Everyone involved with the production should be ashamed, especially John Turturro.The only use for this film is as a form of punishment or torture. I'd rather you shoot me instead.","Oct 23, 2007",1,/10
"I am going to be short and sweet with this. Transformers has a perfect mix of action, and, surprisingly, good comedy. You will be invested in the characters and want to see them succeed. The Transformers looked awesome and the action sequences were amazing. If you are worried about sitting through an action movie for 2+ hours, don't worry. You won't even notice that you have been sitting that long. Children and adults will love this movie. And honestly, as much as I don't like crowds, watching this movie with a good crowd will only add to the overall experience. Truly, if you miss Transformers you are missing one of the most entertaining movies in years.","Jul 5, 2007",10,/10
,"May 11, 2009",7,/10
"You have to admit there is some truth in the title of my review. TRANSFORMERS was definitely one of the films I looked forward to seeing during the summer. The trailers looked awesome, and I couldn't wait to see the movie. I walked out with mixed feelings, although the feeling of disappointment outweighed my more positive feelings. But time has passed, and I'm slowly appreciating the movie a bit more.The first fifteen minutes are very promising, providing humor and great character development. Shia LaBeouf is in the lead role, and he is fantastic! His character has a great, lovable personality you just can't resist. The scene where he buys the car, however, left me with a strange feeling because it was so fast-paced and different.Next, we're trekking through the desert with a unit of soldiers when they are greeted by a transformer. These action sequences are spectacular. However, they serve almost no relevance to the overall plot of the movie, which by the way, is a very interesting plot.While being your average ""unqualified person must stop beasts from taking over universe and get girl"" plot, it has its own unique way of presenting itself, providing great action sequences and awesome special effects. While the plot is obviously unrealistic (because it's a sci-fi film), it comes with some unrealistic moments, such as a 5 foot Transformer making its way through a sea of people without getting noticed.This is one of several problems with the film: not being realistic. People's reactions to the Transformers are not the way a normal human would react. The humor is just plain awful (Sam's Happy Time was just outright nasty), and the movie seems to take itself seriously during some scenes and then strips away its dignity in others. These problems are what make the movie strange and sometimes hard to watch.This goes for about an hour, right up until Sector Seven enters. The rest of the movie after the introduction of S7 is fine. Most of it is action, and of course the action is some of the most entertaining in movie history.One other problem I could actually feel was the film trying to be dramatic. Car chase scenes were spoiled for me because of random guitar riffs beginning to crunch, slow motion effects were painful to watch, and Optimus Prime talked as if he just came from the recent Star Wars films. However, his voice was done to perfection.I would also like to tip my hat to the others who did the voices of the Transformers; although some of the lines were painful to hear simply because of how strange they were (""this looks like a good place to kick it!""), all the voices were magnificent.Transformers had the potential to be a great film, but it only turned out OK. Right now it's at an 8.2, but that will probably drop as more people view it. There is some truth about the title of my review; whenever it doesn't take itself seriously it feels like Power Rangers. That's the main problem; the film doesn't seem to know whether it wants to be serious or not, and that makes it a bit difficult to watch, because you want to take it seriously, but you just can't at certain moments. Overall, I give this movie a 5.5- an OK film with some positive notes and some negative ones.","Jul 9, 2007",5,/10
"So what's wrong with Transformers?... An easier question is what isn't wrong with Transformers. Let's see Shia Labeouf's performance is wonderfully appealing and he's starting to look more attractive. Megan Fox is pretty to look at. And the spfx are good the first time they happen. That's about it. Now what's wrong with it. I'm not a fan of the cartoon nor have I watched therefore I can not speak for that group of people. No story. Loud. Obnoxious. Dumb. Directionless. Boring. Bad Acting. Bad cinematography. Bad casting. Actually reduces your brain capacity after watching. Very little entertainment value. Painfully repetitive. Yep well that's about it. Transformers certainly isn't the worst film I've seen but it's definitely one of the worst. It's dreadfully loud and obnoxious. I left with a horrible headache and found the movie to be painfully stupid. I didn't really understand what was going on and really couldn't see anything because of the chaotic Blair Witch style cinematography. Except for those now ridiculous Michael Bay slow motion shots and pan outs. This is quite possibly the dorkiest film ever made and you have any bit of coolness to you, you'll run for the exits. Transformers is a cinematic junkyard...","Jul 2, 2007",8,/10
,"Sep 3, 2007",6,/10
"What can I say about this film......first off when I first heard they were making a ""Transformers"" film, I thought uh oh another load of rubbish is being made. How wrong was I?Having just watched The Transformers, I gotta say it was a delight to watch, the special effects were awesome, OK the story line was a bit pants, but hey I won't go there, cos I don't want to spoil anything for those who haven't yet had the chance to watch this film, but go on go watch it, cos it really is worth watching, it's good to know that there still are good films being made, the only other thing is....if a sequel is ever made, lets just hope it doesn't bring Transformers into meltdown. Pure entertainment I'll most defiantly be watching this film again.","Sep 21, 2007",10,/10
